⟦fkit-dashboard v2⟧
⟦BOARD⟧
| Status | # | Task | Filename | Owner | Next step |
| 🔲 Backlog | — | Add a fidelity leg to the faithful-carry construction — hash the emitted paste, not just the file *(**adversarial-review finding `AR-1`** against the 2026-08-05 driver run, filed on a **named owner ruling**, `AskUserQuestion`, live `/fkit-sprint-ship-loop` driver session 2026-08-05. **The gap: the construction's steps test PROVENANCE and PRESENCE — never FIDELITY; nothing checks that what the driver *emitted* matches what it *read*.** Step 2 proves the **read** was whole; step 4's `git hash-object` pointer hashes **the file**; step 6 confirms both legs are **present** — the paste and the pointer are **never compared to each other**. ⚠️ **NOT HYPOTHETICAL — it fired on the run that filed this brief**: the driver read `plan.md`, put text in the Build spawn prompt, and looked at the prompt before sending, **passing steps 3, 6 and BOTH governing sentences** (*"Verbatim"… bytes it read from a file that turn*; *"Both ways"… after looking at what it wrote*) while the paste was a **condensed restatement** — relayed as ~60%, ⚠️ *attributed, not re-measured*. **Caught only because the POINTER leg let the Build worker compare** — detection was downstream and by luck, not by any step the driver runs; **step 6 catches an absent leg, it cannot catch a present-but-wrong one**. **Scope:** the driver re-derives `git hash-object` **over the pasted block itself**, compares to step 4's file hash, states the result; a mismatch takes the **existing** degraded form, no new outcome. ⛔ **MANDATORY HONESTY CLAUSE — a driver hashing its own emitted text against its own computed hash is still SELF-REPORT: it NARROWS, it does not CLOSE**; `0204`'s `PreToolUse` hook is the external mechanism that closes it. **Relates to `0204`, duplicates neither** — this is the cheap prose leg that also covers **spawned/non-launcher sessions where `0204`'s hook is not registered** (`0204` caveat 5). ⚠️ **HEAVILY CONTENDED FILE** — `0203`, `0208`, `0223`, `0224` and `0204` all edit `claude/skills/fkit-sprint-ship-loop/SKILL.md`; re-read it live and cite by heading, never by line number; ⛔ the *"honest bound on 'true by construction'"* paragraph is **reviewer-protected** — add beside it, do not rewrite it. Independent; owner: fkit-coder)* | [`0227-add-a-fidelity-leg-to-the-faithful-carry-construction`](../tasks/backlog/0227-add-a-fidelity-leg-to-the-faithful-carry-construction/brief.md) | fkit-coder | ⟨derive: nothing. It lands independently of `0202`, `0203` and `0204`.⟩ |
| 🔲 Backlog | — | Write the `## Resume doctrine` section into the sprint loop — `0167`'s follow-up 1, **doctrine half** *(filed on a **named owner ruling**, `AskUserQuestion`, live `/fkit-sprint-ship-loop` driver session **2026-08-05**. `0167` §5 ruled the exit row **and** a `## Resume doctrine` section **must ship together** and explicitly rejected row-alone; `0208` shipped the **row alone** under owner ruling OQ-1 → A **on the condition that this brief be filed**. ⚠️ **Verified first-hand 2026-08-05: this follow-up had NEVER been filed and had NO board row** — it existed only inside `0167`'s closed report §10 and `0208`'s plan/worklog, which is exactly the *"guidance only an archaeologist finds"* failure `0208` exists to fix. **Discharges three `0208` accepted residuals**: **R2** (the row carries decision-procedure OUTPUTS, not the procedure) with **R8** folded in by owner ruling (addendum part **(c)** — *"a structural probe cannot answer a content question"* — compressed in the cell to two words), **R3** (`0167` §3's no-self-report rule has nowhere to live in a table cell), and the first residual (the row shipped without the section). **Must carry:** the full **operational decision procedure** as a procedure, not a description (list the paths the spawn instruction named → discharged per path → the one separating question, *"is what is on disk usable with the missing paths never arriving?"*); the **narrower** no-self-report wording — ⛔ `0167` constraint (1), owner-ruled: **do NOT copy §3's headline** *"It never asks a worker what it already did"*, it contradicts §3's own ADR-037 narrowing; **all three which-disk constraints** (enumerate the deliverable wherever it lives, never the task folder as a proxy · `git status` is not a landing detector for an untracked path · a structural probe cannot answer a content question) with **"partial" defined over the UNIT, not the file**; the **two disk states `0208`'s review surfaced** — all-paths-discharged-then-failed-to-return (**R2**, drive continues, row does not fire) and a **single half-written file** (**R5**, `partial` by construction, but the test must not depend on finding one); and the **spawn-time baseline** for the nothing-landed comparison (constraint (2)). ⛔ **NO retry policy — no count, limit or backoff**: `0167` names that **follow-up 3, an owner decision**, and §8 explicitly declines the existing `Blocked — hand-off didn't land` row's *"once"* as licence. ⛔ **Do NOT rewrite `0208`'s shipped row** — its branches and statuses are owner-ruled (D3) and reviewer-settled; pointer-only additions, and surface any conflict rather than resolving it. ⛔ **No ADR** (`0167` §7). ⚠️ **HEAVILY CONTENDED FILE** — `0203`, `0204`, `0223`, `0224`, `0227` also edit `claude/skills/fkit-sprint-ship-loop/SKILL.md`; re-read live and cite by **heading**, never by line. ⚠️ **Owner is `fkit-coder`, diverging from the spawn instruction's `fkit-architect` suggestion — producer's call, not an owner ruling**: the design is already done and owner-ruled in `0167` §10, `SKILL.md` is source, and `0208` (the sibling half, same file) was `fkit-coder`; **consult `fkit-architect` at plan time for the spawn-time-baseline mechanism**. ⚠️ **OPEN QUESTION in the brief — `0167`'s follow-up 4** (the one-line scoping note beside `Blocked — hand-off didn't land`) is scoped **OUT** because the 2026-08-05 ruling named follow-up 1 only, though `0167` §10 says it *"ships with follow-up 1"*. ⚠️ **Merit position flagged**: on merit this belongs **directly below `0208`** and should be pulled into **Sprint 2** with it — ⛔ **nothing re-ranked, nothing pulled, by a spawned producer with no owner channel (ADR-035)**; owner: fkit-coder)* | [`0228-write-the-resume-doctrine-section-into-the-sprint-loop`](../tasks/backlog/0228-write-the-resume-doctrine-section-into-the-sprint-loop/brief.md) | fkit-coder | ⟨derive: nothing hard. `0208` has shipped the row, which is what makes this half the remainder.⟩ |
| 🔲 Backlog | — | Repair the self-contradiction in `task-status-vocabulary.md` *(filed on a **named owner ruling**, `AskUserQuestion`, live `fkit lead` session **2026-08-06** — verbatim: **"File a task to fix it"**, and **explicitly NOT folded into `0229`**. **The defect, both claims verified on disk 2026-08-06:** under *"The authority split — this is the point"* the doc says `Done`/`Cancelled` *"may only be set by the … skills — **never by hand-editing a file**"*; under *"Rules"* it says the brief and sprint plan must agree and *"The mover skills already do this — **do the same by hand.**"* **No behaviour is wrong today** — the specific rule (the authority split) wins, and the ADR-018 `PreToolUse` hook enforces it at runtime; the `Rules` line is best read as scoped to the **free** statuses (`🔄 In progress`, `🚧 Blocked`). ⚠️ **But this is the exact document an agent consults before deciding whether it may write a status**, and the `Rules` line **read in isolation gives the wrong answer** — that it may hand-write a `✅ Done` to make a brief agree with a board. Severity **latent, not active**: nothing observed has acted on the wrong reading. **Scope:** scope the `Rules` bullet explicitly to the free statuses and carry the `✅ Done`/`⛔ Cancelled` exclusion **inside that same bullet** — cross-document coherence requiring two sections is what failed here; keep the true requirement that gated statuses agree, restated as *run the mover*, not *edit by hand*. ⛔ **Do NOT weaken the authority-split rule** — it is correct and hook-enforced; the `Rules` bullet is the side that is wrong-as-written. ⚠️ **Verify the coordinates yourself — do not inherit them**: they were lines 33 and 66 on 2026-08-06, but the brief cites by **heading + quoted phrase** per `0160`; **add no naked `:NNN` citations**. **Acceptance hinges on the isolation test** — the repaired bullet read alone must make the wrong conclusion unreachable. Independent of `0229`; owner: fkit-coder)* | [`0230-repair-the-self-contradiction-in-task-status-vocabulary`](../tasks/backlog/0230-repair-the-self-contradiction-in-task-status-vocabulary/brief.md) | fkit-coder | ⟨derive: nothing. This document edit is independent of `0229` — the owner ruled the two are separate tasks, and neither blocks the other.⟩ |
| 🔲 Backlog | — | Make `/fkit-wiki-sync` count and classify its own diff before writing its `log.md` entry *(filed on a **named owner ruling**, `AskUserQuestion`, live `fkit lead` session **2026-08-06** — verbatim: **"File a brief for it"**. ⚠️ **SEVERITY LOW, stated up front:** **no reader-actionable fact was affected** — no link target lost, no body prose deleted. **The evidence, from a `/fkit-wiki-lint` run 2026-08-06:** the preceding sync's `log.md` entry claimed **"6 created, 31 updated"** when the true figure was **30 tracked pages updated** (the "33" relayed separately was the **raw modified-file count**, including `index.md`, `log.md` and `.wiki-watermark`); and claimed **"every edit to an existing page is additive"** when **4 `## Related` bullets and 3 `index.md` bullets were REPLACED, not appended** — a claim **stronger than the diff supports**. The lint **appended a dated correction** rather than editing, because `log.md` is **append-only with no exceptions** (owner ruling 2026-08-03, task `0211`). **Root cause as the lint named it: the sync skill does not count and classify its own diff before writing its log entry** — verified, step 7's template and step 8's report both **ask for** `N`/`M`/`K`, but **no step instructs the run to derive them from the diff**, and none asks it to classify an edit additive-vs-replacing; the figures come from recollection. **Scope: the SKILL FIX ONLY** — measure from the working-tree diff; count **tracked pages**, excluding `index.md`/`log.md`/`.wiki-watermark`, and **label a raw file count as such**; derive created and updated separately; permit an additivity claim **only** when the diff shows no removed lines, else state the replaced count. ⛔ **NOT a vault repair — the vault is ALREADY CORRECTED**; `ai-agents/wiki-vault/` is the fkit-wiki agent's exclusive write surface and this task must leave it untouched. ✅ **`0213` overlap CHECKED — none**: `0213` adds a **read** step to `fkit-wiki-lint`; this adds a **measure** step to `fkit-wiki-sync` — different file, skill and verb, **complementary**, either order. ⚠️ **Owner is `fkit-coder`, not `fkit-wiki`** — the edit is a skill file under `claude/skills/fkit-wiki-sync/`, despite being about the wiki)* | [`0231-make-wiki-sync-count-and-classify-its-own-diff-before-logging`](../tasks/backlog/0231-make-wiki-sync-count-and-classify-its-own-diff-before-logging/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Assess `0224`'s denial log as an **ADR-036 registry site** *(filed on a **named owner ruling**, `AskUserQuestion`, live `fkit lead` session **2026-08-06** — verbatim: **"File both now."** ⚠️ **NOT ACTIONABLE TODAY — BOTH DEPENDENCIES ARE OPEN AND NEITHER ARTIFACT EXISTS ON DISK**: `0189` (the registry module `test/skill-ownership-sites.mjs` — nothing to assess *against*) and `0224` (the denial log — nothing to assess). **If either is still absent when pulled, the row is `🚧 Blocked`, NOT `✅ Done`** — a speculative assessment of a file that does not exist is exactly what this warning prevents. **Why a separate row and not a step inside `0224`: the ordering is not guaranteed** — if `0189` lands after `0224`, a folded-in check is one skipped as unrunnable and never revisited; a separate row is the only form that survives every ordering. **`0194` is the precedent — same reasoning, same shape, filed for the same reason.** **The gap:** ADR-036 ruled the ownership-fact site inventory is a **declared registry with a completeness tripwire**, and its §Context records the failure mode in its own words — a site left **undeclared, added by the very task told to declare one**. `0224` introduces a **new git-tracked append-only artifact** whose every record names *a role* and *a skill it was denied* — an ownership-fact **shape** — and `0224`'s brief says nothing about the registry, so **it lands undeclared** unless this row catches it: precisely the class `0226` exists to clean up after the fact. **This is the check that the log gets DECLARED — it does not build or change it.** **The prediction, stated so it can be FALSIFIED not assumed:** the log *records* role↔skill pairs rather than *attributing* a skill to a role, so on ADR-036's two-kinds distinction it looks like a **declared non-fact hit** (noise +1) — ⛔ **but that is a prediction, not the answer**, and two things could overturn it: the log's header/schema prose may attribute where its records do not, and **`0224` IS A PAIR** (half (ii) is a worklog `**Role:**` line, half (i) may touch `deny()` in `claude/skill-ownership-hook.sh`) — **score every artifact `0224` created or modified, read from its DIFF not its brief; a pair assessed as one file is half an assessment**. Must **score all FIVE triggers (a)–(e), not (e) alone**, taking the spec **as ADR-036 clause 4 states it** (clause 4 says of its own summary that it *"is a summary of it, not a second copy of it"* — **point at it, do not paraphrase**); classify each artifact into **exactly one of three named outcomes** — ownership-fact site / declared non-fact hit / **neither, a legitimate result** — with the reason; **state the registry noise count before and after, FRESHLY MEASURED** — ⚠️ the registry module is **authoritative** and **no count is hard-coded**, every figure in any report being a dated measurement of one tree on one day; any entry written honours the **≥30-char `reason` floor** (ADR-027 §Decision 3: *an entry with no stated reason is an unfalsifiable permanent hole*); run the completeness tripwire and report its result. ⛔ **Change NOTHING `0224` built** — not the log format, location, `deny()`, or the `**Role:**` line; a defect found there is **reported and filed, not fixed here**. ⛔ No registry building (`0189`), ⛔ ADR-036's triggers/thresholds/two-kinds **not reopened**, ⛔ no ADR amendment, ⛔ no new devDependency (ADR-014), ⛔ no `wiki-vault/` write (ADR-005), ⛔ no commit, no re-rank, no task-file move. **⚠️ NOT dependent on ADR-038 / `0222`** — `0224` is downstream of that ruling, but **this is downstream of `0224`'s ARTIFACTS, not of the ruling**: whatever ADR-038 says about which role runs which step, a new artifact naming roles and skills either belongs in the registry or does not, and that is **ADR-036's question, not ADR-038's**. **`Depends on: 0189, 0224`** — both open at filing; `Blocks: nothing`; owner: fkit-architect)* | [`0233-assess-the-denial-log-as-an-adr-036-registry-site`](../tasks/backlog/0233-assess-the-denial-log-as-an-adr-036-registry-site/brief.md) | fkit-architect | ⟨derive: `0189`, `0224`.⟩ |
| 🔲 Backlog | — | Fix `dashboard.sh` drift rule 2 — a task may move more than once *(filed on a **named owner ruling**, `AskUserQuestion`, live `fkit lead` session **2026-08-06** — verbatim: **"File it against dashboard.sh."**; **measured today**: the Sprint 2 → Sprint 3 rollover pulled `0181` and `0182` off the Backlog board into Sprint 3, and the **archived** Sprint 2 board now emits two **permanent** `drift disagreement` records — **both board rows are correct and both briefs are correct**, and **no edit reconciles them without one source lying**; **the defect**: the `-- disagreement drift --` block's rule-2 arm compares a row's **frozen** `moved_target` against the brief's **current** `## Sprint`, which is sound only if **a task moves at most once** — the sanctioned reverse move `Sprint N → Backlog → Sprint M` breaks that assumption by construction; **⚠️ CEILING 45 ROWS** — 45 Sprint 2 rows read `➡️ Moved to [Backlog]` and every one ever pulled back adds another unrepairable record; **⚠️ NOT caused by the archival** — identical had the board stayed put; ⛔ **THE PROHIBITED REPAIR, NAMED**: do **not** "fix" this by rewriting, falsifying or deleting a `➡️ Moved` marker on any board — that asserts a transition that never happened and erases a real one, and the same bar covers blanking the brief's `## Sprint` so the strings match (a finding proposing either is **closeout, not a new defect**); **the real target of rule 2 — a half-done move where the row flipped and the brief did not — must keep being caught, and the residual must be NAMED, not implied away**; ⛔ no board file and no brief `## Sprint` edited, ⛔ no new devDependency (ADR-014), ⛔ no `:NNN` citations; **related, not blocking**: `0210` (the reverse move this rule never learned about); owner: fkit-coder)* | [`0234-fix-drift-rule-2-for-a-task-that-moves-more-than-once`](../tasks/backlog/0234-fix-drift-rule-2-for-a-task-that-moves-more-than-once/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Cross-check a brief's `## Status` field against its own prose — **heuristic, and honest about it** *(filed on a **named owner ruling**, `AskUserQuestion`, live `fkit lead` session **2026-08-06** — verbatim: **"File it."**; **the worked example**: `0185`'s `## Status` read `🔲 Backlog` while its own `## Notes` in the **same file** read *"🚧 Blocked on an owner ruling — deferred 2026-08-01"* — **wrong for five days, caught by nothing**; **why nothing saw it**: `dashboard.sh` cross-checks **three** carriers — the plan's Status cell, the brief's `## Status`, the folder location — all structured, and **never a brief against itself**; **⚠️ THE HONEST LIMIT, WHICH MUST NOT BE OVERSOLD**: a brief's prose is free text, so any check here is **HEURISTIC — noisy, evadable, or both**, and there is no construction that makes it a guarantee (briefs legitimately quote status markers as subject matter; the next forgotten field can be phrased so no pattern matches). **The owner was told this explicitly when they ruled and ruled to build it anyway.** ⛔ **A close report, test name, comment or doc line presenting this as GUARANTEEING a brief's status is honest is a DEFECT of this task** — everything ships as *"catches an obvious class"*, never *"prevents"*; **three decisions to make and state**: where it lives (test vs `dashboard.sh` drift record — **not equivalent**, a noisy heuristic on a hard gate becomes a suppression list; **drift record recommended**), the condition, and **the false-positive budget MEASURED over every brief in all three boards — if the noise dominates, recommending NOT to ship is a sanctioned outcome, not a failure** — ⚠️ **DATED CORRECTION 2026-08-06**, the filing producer's open question (*build it knowing it may conclude "don't ship"?*) is **ANSWERED**: **named owner ruling, verbatim "Build it, null result acceptable."** (`AskUserQuestion`, live `fkit lead` session, **2026-08-06**), accepted cost stated to the owner as *one task's effort to possibly ship nothing*, because **the measurement is most of the value** — ⛔ this authorizes **building on the heuristic basis only** and does **NOT** weaken the honest limit above or the overselling-is-a-defect clause; **acceptance fixtures**: `0185`'s 2026-08-01 state must fire, this brief itself must not; ⛔ do not edit any brief's `## Status` (report, don't repair), ⛔ no task-file moves (ADR-033), ⛔ no new devDependency, ⛔ no `:NNN` citations; **related, not blocking**: `0229`, `0230` — all three circle *a brief's own fields have no keeper*, none subsumes another; owner: fkit-coder)* | [`0235-cross-check-a-briefs-status-field-against-its-own-prose`](../tasks/backlog/0235-cross-check-a-briefs-status-field-against-its-own-prose/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Sweep the stale `ai-agents/sprints/sprint-2.md` prose paths after the archival — **the `0076` precedent** *(filed on a **named owner ruling**, `AskUserQuestion`, live `fkit lead` session **2026-08-06** — verbatim: **"File it as its own task."**; the rollover re-pointed every broken **link** and deliberately left every **prose mention** of the literal path, judging a repo-wide rewrite of frozen records inside a rollover to be the silent history-edit this project's rules exist to prevent — **Sprint 1's rollover handled the identical class as its own task, `0076`, and that is the precedent the ruling points at: change the pointer never the prose, verify-do-not-fix the named false positives, scope the diff and prove it**; **📅 RE-MEASURED AT FILING 2026-08-06 and the board's figure did NOT reproduce**: the Sprint 3 board records **107 files**, the filing measurement finds **106 whole-repo / 5 inside the vault / 101 actionable outside it**, **148 occurrences**, **16 in the banned `path:NNN` form** — split 70 `tasks/done` · 12 `tasks/backlog` · 9 `kb/reports` · 4 `kb/decisions` · 3 `sprints` · 2 `claude/skills` · 1 repo-root handoff; **⚠️ neither number is a checklist — re-count and report against both, saying which condition you measured**; **THE CORE WORK IS A JUDGEMENT, NOT A `sed`** — classify **live documents** (re-point) vs **frozen closed records** (**default LEAVE**; the historical text is arguably correct as written and the burden is on changing one, not keeping it) vs **named expected no-ops** (`sprint-3.md` and `done/sprint-2.md` name the old path inside dated corrections **about the archival itself** — read, confirm, record, `0076` part B's exact shape); **⚠️ the 16 `path:NNN` hits are a DIFFERENT problem wearing the same clothes** — banned by the `0160` ruling regardless of staleness, so **do not "repair" them by freshening the path**: strip to a durable form or hand them to `0237`, and say which; ⛔ no `wiki-vault/` write (the 5 vault hits are `0238`'s, ADR-005), ⛔ no status cell / `P<n>` / `➡️ Moved` marker touched, ⛔ no task-file moves, ⛔ no `:NNN` in this task's own artifacts, ⛔ **no blanket `sed -i`** — a script may execute the classification, never make it; **close report must state how many files were left deliberately and the rule that left them**; **related, not blocking**: `0237` (overlaps on the 16 — deliberately separate: stale path vs banned form are independent), `0238` (owns the vault hits); owner: fkit-coder)* | [`0236-sweep-the-stale-sprint-2-prose-paths-after-the-archival`](../tasks/backlog/0236-sweep-the-stale-sprint-2-prose-paths-after-the-archival/brief.md) | fkit-coder | ⟨derive: nothing.⟩ |
| 🔲 Backlog | — | Record the **ADR** for the closed-rank-immutability guard's baseline — `HEAD`, and the transition in progress *(**THREE named owner rulings**, all `AskUserQuestion`, live `fkit lead` session **2026-08-06**: **"Have the architect decide it"** → the architect delivered → **"No CI planned"** and **"Include it"** (the `HEAD` ↔ `HEAD^` second leg) on its two open questions. **The decision is TAKEN; this task does not re-open it**; **the recommendation**: baseline = **`HEAD`**, scope = **the transition currently in progress, not a history range** — which **DISSOLVES `0182`'s blocking decision rather than answering it** (no range ⇒ no permanent red ⇒ **no exemption to justify**), leaving `0174`'s renumbering commit in history without the guard ever asserting over it; **the deciding criterion, the sentence the ADR exists to preserve**: *a baseline must be a record you cannot rewrite in the same act that breaks the invariant*; **a committed snapshot/manifest is REJECTED BY NAME** — its only repair path is regenerating it from the thing under test, **laundering the breach into the baseline**, failing the criterion by construction; **why an ADR**: **ADR-035's §"Left undone, deliberately"** names this hole explicitly, and recording the rejection is what makes the snapshot idea **closeout** rather than a returning review finding; **must carry a `Re-raise only if` clause** — *if CI is introduced*, *if the closed-row rule itself is revised*; **⚠️ ACCEPTED RESIDUAL, MUST BE STATED IN ITS OWN SECTION, NOT IMPLIED AWAY**: the design **knowingly accepts that a breach committed with no test run in between is never caught** — the `HEAD`↔`HEAD^` leg **narrows this by one commit and must not read as a fix**; **"No CI planned" is recorded as a load-bearing PREMISE**, because with no CI the residual cannot be closed by automation; **⚠️ SEQUENCE AFTER `0222`** (Sprint 3 `P3`), which files ADR-038 and carries the **mandatory four-way number sweep** — **⛔ DO NOT PRE-ALLOCATE 039**: `adr-037` is highest on disk and `0222` has not landed; run the **same four-way sweep** (`decisions/`, `reports/`, the sprint boards, **and `wiki-vault/` read-only**) because the **ADR-029 precedent** is that a number was once claimed **everywhere except `decisions/`** — **17 files already carry `adr-038`/`adr-039` strings today and not one is a `decisions/` file**; ⛔ **no implementation** — nothing under `test/`, `claude/` or any board (that is `0182`, `fkit-coder`'s), ⛔ do not repair `0174`'s eight renumbered rows, ⛔ no re-rank, ⛔ no `wiki-vault/` write (file an ingest follow-up, the `0199`/`0239` shape), ⛔ no `:NNN` citations, ⛔ no commit; **⚠️ do NOT edit `0182`'s brief** — hand its stale blocked framing to the producer; **⚠️ `0182`'s glob defect is NOT fixed here** and is separately queued; **`Depends on: 0222` — hard, for the ADR NUMBER ONLY; the decision itself is unrelated in subject**; **Blocks: `0182` — soft** (this is what makes the ruling durable and citable); **sequencing after `0222` is a dependency, NOT a rank** — `0222` sits on Sprint 3 and this row is unscheduled, so nothing here asserts a position on any ranked board; owner: fkit-architect)* | [`0240-record-the-adr-for-the-closed-rank-guards-baseline`](../tasks/backlog/0240-record-the-adr-for-the-closed-rank-guards-baseline/brief.md) | fkit-architect | ⟨derive: `0222` — hard, for the ADR number only. `0222` files ADR-038 and runs the number sweep; allocating before it lands risks a collision that is permanent once anything links to it. The decision itself does not depend on `0222` in any way — the two ADRs are unrelated in subject. - ✅ DATED CORRECTION 2026-08-14 — THIS DEPENDENCY IS DISCHARGED. The line above is left byte-identical and is no longer binding. `0222` closed; its folder is `ai-agents/tasks/done/0222-record-adr-038-a-loop-steps-role-is-fixed-by-the-skill-the-step-runs/` and ADR-038 is on disk. Current dependency: nothing. ⚠️ What survives is the *reason*, not the wait: the four-way number sweep is still mandatory before allocating (verification step 2), and `039`–`043` are now all taken — see the dated correction at §"The number hazard". ⛔ This does not make the row `🔄 In progress`; it makes it runnable.⟩ |
| 🔲 Backlog | — | **Run the real-project stale-install test** — exercise Sprint 4's structure-check capability outside this repo *(**owner ruling 2026-08-10**, via `AskUserQuestion` in a live session, **the option label is the verbatim text**: **"File a brief, leave on backlog"** — option description as presented: *"The intent gets a durable home so it can't be lost, but doesn't block Sprint 5 or the release. You pick it up when convenient."*; ⚠️ **deliberately unscheduled and NOT a release gate** — pulling it into Sprint 5 reverses the ruling; answers [Sprint 5](done/sprint-5.md)'s **open question 1** — the 2026-08-08 gate was **lifted, not met**, and **nothing Sprint 4 shipped has ever been exercised outside this repo**; carries `0245`'s and `0246`'s own verification steps — the acceptance criteria those two were agent-closed against and **never owner-verified** — each tagged field-exercisable vs in-repo-only, with **"not exercised" a required verdict**; procedure: stash/commit in the target project **first** (`fkit-claude-init.sh:460` `mv "$tmp" "$f"`, **no backup**), first launch under `FKIT_CLEANUP_DRY_RUN=1` (`:695`; four deletable paths at `orphan-targets:23-26`), `fkit update` **then re-launch inside the project** (the update refreshes the install share only — `.claude/` is refreshed at `:479-490`, **on launch only**), then `/fkit-heal` in a producer session and `git diff` to confirm the applied set equals exactly what was approved; ⚠️ **owner-run, not agent work** — the repair leg needs `AskUserQuestion` and stops after the check report when spawned; deliverable is a **field report**, ⛔ fixes are filed, not patched; recommended target is the downstream reporter already on `0.2.1` — ⚠️ **batch with `0260`'s pre-release naming test, a second ask of the same third party**; owner: fkit-producer; **✅ AMENDED 2026-08-10 — the cell text above is kept byte-identical and is now incomplete.** A later owner ruling of the same day, verbatim option label **"0262 replaces it — record that (Recommended)"**, makes this task **DISCHARGE** the 2026-08-08 promise to personally verify `0245`/`0246`, on completion — **no separate personal verification is intended or owed**; ⛔ the eight Sprint 4 rows keep `(agent-closed — not owner-verified)` **PERMANENTLY**; ⛔ it is **still deliberately unscheduled and still not a release gate**; ⚠️ until it runs the promise is **assigned, not met**; full record in this board's `## Notes`)* | [`0262-run-the-real-project-stale-install-test-outside-this-repo`](../tasks/backlog/0262-run-the-real-project-stale-install-test-outside-this-repo/brief.md) | fkit-producer | ⟨derive: nothing. Everything it exercises is already on disk and shipped in `0.2.x`.⟩ |
